volatile acidity,sulphates,alcohol,quality
0.27,0.45,8.8,6
0.3,0.49,9.5,6
0.28,0.44,10.1,6
0.23,0.4,9.9,6
0.23,0.4,9.9,6
0.28,0.44,10.1,6
0.32,0.47,9.6,6
0.27,0.45,8.8,6
0.3,0.49,9.5,6
0.22,0.45,11,6
0.27,0.56,12,5
0.23,0.53,9.7,5
0.18,0.63,10.8,5
0.16,0.52,12.4,7
0.42,0.67,9.7,5
0.17,0.55,11.4,7
0.48,0.36,9.6,6
0.66,0.39,12.8,8
0.34,0.53,11.3,6
0.31,0.5,9.5,5
0.66,0.39,12.8,8
0.31,0.35,11,7
0.26,0.48,10.5,8
0.67,0.51,9.3,5
0.27,0.47,10,6
0.25,0.5,10.4,6
0.24,0.44,10,6
0.28,0.53,10.5,6
0.27,0.49,11.6,6
0.32,0.71,12.3,7
0.24,0.53,10,6
0.14,0.4,10.2,6
0.25,0.44,10.8,6
0.12,0.51,9,6
0.27,0.37,10.2,5
0.28,0.42,12.8,5
0.39,0.35,10,5
0.33,0.28,11.2,6
0.24,0.36,8.6,5
0.24,0.36,8.6,5
0.23,0.36,9.4,6
0.24,0.34,9.4,6
0.31,0.46,9.8,6
0.24,0.56,9.5,6
0.23,0.56,9.5,6
0.18,0.53,10,7
0.45,0.52,9.8,4
0.46,0.52,9.8,5
0.31,0.46,9.8,6
0.19,0.48,9.8,5
0.19,0.44,11.7,6
0.25,0.58,11,7
0.16,0.46,10.9,7
0.18,0.35,10.9,6
0.2,0.38,9.1,6
0.25,0.52,11,6
0.21,0.5,9.6,6
0.19,0.36,8.9,6
0.38,0.38,10.2,6
0.2,0.34,9.9,6
0.22,0.46,8.6,6
0.19,0.36,8.9,6
0.47,0.34,10.5,5
0.38,0.38,10.2,6
0.24,0.46,10.3,6
0.35,0.54,9.1,5
0.26,0.49,12.6,7
0.25,0.42,9.8,5
0.23,0.64,10.7,8
0.24,0.35,9.5,5
0.27,0.51,9,6
0.3,0.6,9.5,5
0.27,0.71,10,5
0.23,0.49,9.1,6
0.23,0.64,10.7,8
0.24,0.35,9.5,5
0.18,0.37,12.7,7
0.32,0.65,12,7
0.18,0.56,9.3,5
0.54,0.37,9,5
0.22,0.77,10.6,6
0.2,0.6,9.2,6
0.34,0.42,10,5
0.22,0.46,9.5,6
0.43,0.45,8.7,5
0.44,0.46,8.7,6
0.39,0.44,8.7,6
0.25,0.48,9.7,6
0.43,0.45,8.7,5
0.44,0.46,8.7,6
0.39,0.44,8.7,6
0.27,0.47,9,5
0.24,0.4,12.6,7
0.21,0.41,12.6,7
0.17,0.44,11.5,7
0.26,0.42,9.2,6
0.34,0.5,8.8,6
0.265,0.36,11.4,7
0.36,0.3,10.1,4
0.34,0.5,8.8,6
0.25,0.44,9.1,5
0.12,0.41,9.4,5
0.21,0.39,9.4,5
0.305,0.46,9,5
0.25,0.44,9.1,5
0.13,0.35,9.2,6
0.12,0.41,9.4,5
0.23,0.59,9.1,6
0.23,0.59,9.1,6
0.33,0.6,10.3,5
0.17,0.39,8.8,6
0.27,0.52,8.9,5
0.31,0.47,9.2,5
0.41,0.51,9.1,5
0.41,0.51,9.1,5
0.485,0.4,9.7,4
0.31,0.44,11.3,6
0.14,0.42,11.8,6
0.31,0.47,9.2,5
0.32,0.5,9.2,5
0.36,0.51,10.2,5
0.24,0.54,8.8,5
0.16,0.34,9.7,5
0.19,0.36,9.1,6
0.13,0.36,9.8,6
0.19,0.48,11,6
0.39,0.42,10.5,5
0.24,0.54,9.7,7
0.3,0.57,10.9,7
0.3,0.57,10.9,6
0.26,0.37,10.6,5
0.24,0.54,9.7,7
0.425,0.57,9,5
0.24,0.51,9.2,5
0.27,0.52,8.9,5
0.27,0.56,9.6,5
0.23,0.38,10.7,6
0.37,0.44,8.7,5
0.19,0.54,10.8,7
0.28,0.52,11.8,6
0.31,0.43,10.2,5
0.37,0.44,8.7,5
0.21,0.54,10.8,6
0.21,0.53,9.7,6
0.2,0.54,11.2,6
0.255,0.39,10.9,6
0.16,0.37,10.1,6
0.595,0.36,9,4
0.34,0.58,12,7
0.25,0.38,9.4,6
0.22,0.32,11.5,7
0.18,0.43,9.9,6
0.25,0.38,9.4,6
0.18,0.45,10.4,5
0.23,0.84,9.7,6
0.24,0.42,8.9,6
0.24,0.42,8.9,6
0.32,0.42,12.4,7
0.44,0.33,12.1,8
0.44,0.33,12.1,8
